DefectID,Priority,DvCd,TrackType,Div,LineName,Line,Track,StationName,DefectType,DefectSize,FoundDate,RepairDate,PlateType,RailWeight,RailType,Manufacturer,ProducedDate,Million Gross Tons,RailAge,assetID,latitude,longitude
SB-001-09,P1,,,IND,8th Av - Fulton St,A,2,W 4 St,Broken Rail,,1/4/09,1/6/09,,,,,,46,,PS167,40.732338,-74.000495
SB-002-09,P1,100M,IIM,IND,Queens - Archer,D,1,36 St,Broken Rail,,1/5/09,1/13/09,Pandrol,,,,,39,,PS272,40.752052,-73.929006
SB-003-09,P1,100M,III,BMT,West End,D,1,62 St,Head Break,,1/10/09,1/10/09,Pandrol,100,BOLTED,,1990,22,6949.0,PS063,40.626221,-73.99693
SB-004-09,P1,,,IND,8th Av - Fulton St,A,3,103 St,Welded Bond Break,,1/13/09,1/17/09,,,,,,52,,PS156,40.796092,-73.961454
SB-005-09,P1,300M,,IND,6th Av - Culver,B,3,B'way-Lafayette St,Broken Rail,,1/15/09,1/16/09,Pandrol,100,CWR,,,34,,PS230,40.725297,-73.996204
SB-006-09,P1,100M,IIM,IRT,Flushing,C,1,Queensboro Plaza,Broken Rail,,1/20/09,1/20/09,,100,BOLTED,,,46,,PS461,40.750579,-73.940203
SB-007-09,P1,100M,IIM,IRT,Broadway - 7Av,V,4,42 St - Times Sq,Broken Rail,,1/20/09,1/28/09,Pandrol,100,BOLTED,,,36,,PS317,40.75529,-73.987495
SB-008-09,P1,100M,II,IND,6th Av - Culver,B,2,14 St,Broken Rail,,1/21/09,1/23/09,Resilient Fastener,100,CWR,,2002,46,2577.0,PS229,40.738228,-73.996209
SB-009-09,P1,100M,II,IND,6th Av - Culver,B,1,14 St,Head Break,,1/22/09,1/22/09,Resilient Fastener,100,BOLTED,,,46,,PS229,40.738228,-73.996209
SB-010-09,P1,400M,IIM,IRT,Lexington - Shuttle,M,3,Wall St,Broken Rail,,1/26/09,1/9/10,hook,,,,,53,,PS413,40.707557,-74.011862
SB-012-09,P1,100M,II,IND,8th Av - Fulton St,A,3,86 St,,,1/28/09,2/16/09,Pandrol,100,CWR,,1989,52,7332.0,PS158,40.785868,-73.968916
SB-011-09,P1,200M,IIM,IRT,Jerome Av,J,4A,149 St - Grand Concourse,,,1/28/09,1/29/09,Pandrol,100,BOLTED,,2002,,2584.0,PS390,40.818375,-73.927351
SB-013-09,P1,300M,I,IND,8th Av - Fulton St,A,3,50 St,Broken Rail,,2/1/09,2/13/09,Pandrol,100,BOLTED,,2005,30,1492.0,PS162,40.762456,-73.985984
SB-014-09,P1,400M,IIM,IRT,Lexington - Shuttle,MM,3,14 St - Union Sq,,,2/2/09,5/28/09,hook,100,BOLTED,,,53,,PS406,40.734673,-73.989951
SB-015-09,P1,200M,,IND,Queens - Archer,D,1A,Jamaica Van Wyck,Base of Web,,2/3/09,2/3/09,Pandrol,100,CWR,,,,,PS280,40.702748,-73.817009
