Tag,ObjType,AssetID,MastRefNo,CplxRefNo,Closed,Div,OCELineName,Line,LineCode,LineName,Boro,Station Name,StaNam,StaNm7,LocCode,Angle,Nor1,Nor2,Nor3,Sou1,Sou2,Sou3,NextS1,NextS2,NextS3,NextN1,NextN2,NextN3,RidershipID,DiagramID,HasPhotos,Line2,Xleft,Ytop,Xleft2,Ytop2,ImgID,Grp,AssignedTo,Train,Constr,SirsID,Latitude,Longitude,Division-Line-Station Name,Division-Line-StaNam
,PS,PS119,119,119,,BMT,CANARSIE,Q,CNR,Canarsie,M,1 Avenue,1 Av,1av,418,180,118,0,0,585,0,0,120,,,118,,,159,,-1,,245,784,245,784,Img235,4,Lombardi,L,Sub,119,40.730999,-73.981648,BMT-Canarsie-1 Avenue,BMT-Canarsie-1 Av
,PS,PS156,156,156,,IND,8 AVE,A,8AV,8th Av - Fulton St,M,103 St,103 St,103st,,90,155,0,0,157,0,0,157,,,155,,,193,,-1,,94,525,94,525,img110,4,Lombardi,B C,Sub,156,40.796092,-73.961454,IND-8th Av - Fulton St-103 St,IND-8th Av - Fulton St-103 St
,PS,PS309,309,309,,IRT,BWY-7 AVE,BB,BW7,Broadway - 7Av,M,103 St,103 St,103st,,90,308,0,0,310,0,0,310,,,308,,,25,,-1,,75,518,75,518,img107,1,Cespedes,1,Sub,309,40.799446,-73.968379,IRT-Broadway - 7Av-103 St,IRT-Broadway - 7Av-103 St
,PS,PS395,395,395,,IRT,LEX,L,LEX,Lexington - Shuttle,M,103 St,103 St,103st,,90,394,0,0,396,0,0,396,,,394,,,67,,-1,,206,526,206,526,Img109,2,Knights,6,Sub,395,40.7906,-73.947478,IRT-Lexington - Shuttle-103 St,IRT-Lexington - Shuttle-103 St
,PS,PS450,450,450,,IRT,FLUSHING,C,FLS,Flushing,Q,103 St - Corona Plaza,103-Corona,103/Cor,487,40,449,0,0,451,0,0,451,,,449,,,477,,-1,,537,544,537,544,Img112,1,Cespedes,7,Elv,450,40.749865,-73.8627,IRT-Flushing-103 St - Corona Plaza,IRT-Flushing-103-Corona
,PS,PS082,82,82,,BMT,JAMAICA,J,JAM,Jamaica,Q,104 St,104-102 St,102st,,225,83,0,0,81,0,0,81,,,83,,,428,,-1,,755,689,755,689,Img183,4,Lombardi,J Z,Elv,82,40.695166,-73.844435,BMT-Jamaica-104 St,BMT-Jamaica-104-102 St
,PS,PS193,193,193,,IND,LIBERTY,K,LIB,Liberty Av,Q,104 St,104-Oxford,Oxford,,225,192,0,0,194,0,0,194,,,192,,,365,,-1,,819,714,819,714,Img197,4,Lombardi,A,Elv,193,40.681711,-73.837683,IND-Liberty Av-104 St,IND-Liberty Av-104-Oxford
,PS,PS394,394,394,,IRT,LEX,L,LEX,Lexington - Shuttle,M,110 St,110 St,110st,,90,393,0,0,395,0,0,395,,,393,,,68,,-1,,206,497,206,497,Img102,2,Knights,6,Sub,394,40.79502,-73.94425,IRT-Lexington - Shuttle-110 St,IRT-Lexington - Shuttle-110 St
,PS,PS081,81,81,,BMT,JAMAICA,J,JAM,Jamaica,Q,111 St,111 St,111st,386,225,82,0,0,80,0,0,80,,,82,,,427,,-1,,773,674,773,674,Img174,4,Lombardi,J,Elv,81,40.697091,-73.836913,BMT-Jamaica-111 St,BMT-Jamaica-111 St
,PS,PS194,194,194,,IND,LIBERTY,K,LIB,Liberty Av,Q,111 St,111-Greenwood,Greenwd,,225,193,0,0,195,0,0,195,,,193,,,364,,-1,,836,699,836,699,Img187,4,Lombardi,A,Elv,194,40.684331,-73.832163,IND-Liberty Av-111 St,IND-Liberty Av-111-Greenwood
,PS,PS449,449,449,,IRT,FLUSHING,C,FLS,Flushing,Q,111 St,111 St,111st,457,50,448,904,0,450,0,0,450,,,448,904,,476,,-1,,554,523,554,523,Img108,1,Cespedes,7,Elv,449,40.75173,-73.855334,IRT-Flushing-111 St,IRT-Flushing-111 St
,PS,PS154,154,154,,IND,8 AVE,A,8AV,8th Av - Fulton St,M,116 St,116 St,116st,,90,153,0,0,155,0,0,155,,,153,,,195,,-1,,94,479,94,479,img99,4,Lombardi,B C,Sub,154,40.805085,-73.954882,IND-8th Av - Fulton St-116 St,IND-8th Av - Fulton St-116 St
,PS,PS440,440,440,,IRT,LWP,F,LWP,Lenox - WPR,M,116 St,116 St,116st,,90,439,0,0,441,0,0,441,,,439,,,43,,-1,,158,480,158,480,Img97,1,Cespedes,2 3,Sub,440,40.802098,-73.949625,IRT-Lenox - WPR-116 St,IRT-Lenox - WPR-116 St
,PS,PS393,393,393,,IRT,LEX,L,LEX,Lexington - Shuttle,M,116 St,116 St,116st,,90,392,0,0,394,0,0,394,,,392,,,69,,-1,,206,481,206,481,Img100,2,Knights,6,Sub,393,40.798629,-73.941617,IRT-Lexington - Shuttle-116 St,IRT-Lexington - Shuttle-116 St
,PS,PS307,307,307,,IRT,BWY-7 AVE,BB,BW7,Broadway - 7Av,M,116 St - Columbia University,116-Columbia,116st,,105,306,0,0,308,0,0,308,,,306,,,27,,-1,,68,476,68,476,img98,1,Cespedes,1,Sub,307,40.807722,-73.96411,IRT-Broadway - 7Av-116 St - Columbia University,IRT-Broadway - 7Av-116-Columbia
,PS,PS080,80,80,,BMT,JAMAICA,J,JAM,Jamaica,Q,121 St,121 St,121st,449,225,81,0,0,279,0,0,279,,,81,,,426,,-1,,786,660,786,660,Img168,4,Lombardi,J Z,Elv,80,40.700482,-73.828349,BMT-Jamaica-121 St,BMT-Jamaica-121 St
,PS,PS153,153,153,,IND,8 AVE,A,8AV,8th Av - Fulton St,M,125 St,125 St,125st,338,90,152,0,0,154,0,0,154,,,152,,,196,,-1,,94,459,94,459,img92,4,Lombardi,A B C D,Sub,153,40.811109,-73.952343,IND-8th Av - Fulton St-125 St,IND-8th Av - Fulton St-125 St
,PS,PS306,306,306,,IRT,BWY-7 AVE,BB,BW7,Broadway - 7Av,M,125 St,125 St,125st,,87,305,0,0,307,0,0,307,,,305,,,28,,-1,,67,458,67,458,img94,1,Cespedes,1,Elv,306,40.815581,-73.958372,IRT-Broadway - 7Av-125 St,IRT-Broadway - 7Av-125 St
,PS,PS439,439,439,,IRT,LWP,F,LWP,Lenox - WPR,M,125 St,125 St,125st,,90,438,0,0,440,0,0,440,,,438,,,44,,-1,,158,461,158,461,Img93,1,Cespedes,2 3,Sub,439,40.807754,-73.945495,IRT-Lenox - WPR-125 St,IRT-Lenox - WPR-125 St
,PS,PS392,392,392,,IRT,LEX,L,LEX,Lexington - Shuttle,M,125 St,125 St,125st,331,90,579,582,0,393,0,0,393,,,391,377,,70,,-1,,208,464,208,464,Img95,2,Knights,4 5 6,Sub,392,40.804138,-73.937594,IRT-Lexington - Shuttle-125 St,IRT-Lexington - Shuttle-125 St
,PS,PS152,152,152,,IND,8 AVE,A,8AV,8th Av - Fulton St,M,135 St,135 St,135st,459,90,151,0,0,153,0,0,153,,,151,,,197,,-1,,94,439,94,439,img90,4,Lombardi,B C,Sub,152,40.817894,-73.947649,IND-8th Av - Fulton St-135 St,IND-8th Av - Fulton St-135 St
,PS,PS438,438,438,,IRT,LWP,F,LWP,Lenox - WPR,M,135 St,135 St,135st,,90,437,578,0,439,0,0,439,,,437,435,,45,,-1,,158,439,158,439,Img91,1,Cespedes,2 3,Sub,438,40.814229,-73.94077,IRT-Lenox - WPR-135 St,IRT-Lenox - WPR-135 St
,PS,PS305,305,305,,IRT,BWY-7 AVE,BB,BW7,Broadway - 7Av,M,137 St - City College,137-City Collge,137st,460,87,304,0,0,306,0,0,306,,,304,,,29,,-1,,67,434,67,434,img89,1,Cespedes,1,Sub,305,40.822008,-73.953676,IRT-Broadway - 7Av-137 St - City College,IRT-Broadway - 7Av-137-City Collge
,PS,PS391,391,391,,IRT,JEROME,J,JER,Jerome Av,Bx,138 St - Grand Concourse,138-GC,138/GC,461,90,390,435,0,579,0,0,392,,,390,435,,71,,-1,,211,429,211,429,Img86,2,Knights,4 5,Sub,391,40.813224,-73.929849,IRT-Jerome Av-138 St - Grand Concourse,IRT-Jerome Av-138-GC
,PS,PS166,166,618,,IND,8 AVE,A,8AV,8th Av - Fulton St,M,14 St,14 St,14st,,120,165,0,0,167,0,0,167,,,165,,,225,,-1,,98,785,98,785,,4,Lombardi,A C E,Sub,166,40.740893,-74.00169,IND-8th Av - Fulton St-14 St,IND-8th Av - Fulton St-14 St
,PS,PS229,229,601,,IND,6 AVE,B,6AV,6th Av - Culver,M,14 St,14 St,14st,277,90,228,0,0,167,0,0,167,,,228,,,226,,-1,,162,785,162,785,,5,Brusati,F M,Sub,229,40.738228,-73.996209,IND-6th Av - Culver-14 St,IND-6th Av - Culver-14 St
,PS,PS322,322,601,,IRT,BWY-7 AVE,V,BW7,Broadway - 7Av,M,14 St,14 St,14st,200,90,321,0,0,323,0,0,323,,,321,,,226,,-1,,162,785,162,785,,1,Cespedes,1 2 3,Sub,322,40.737826,-74.000201,IRT-Broadway - 7Av-14 St,IRT-Broadway - 7Av-14 St
,PS,PS015,15,602,,BMT,BWY,A,BRT,Broadway - Brighton,M,14 St - Union Sq,14-Union Sq,14st,181,100,14,0,0,16,0,0,16,,,14,,,227,6,-1,,199,784,199,784,,2,Knights,N Q R,Sub,15,40.735868,-73.990639,BMT-Broadway - Brighton-14 St - Union Sq,BMT-Broadway - Brighton-14-Union Sq
